A;Landbouw, bosbouw en visserij;
33.2;Installatie van industriële machines en apparatuur;
33.21;Installatie van ketels en tanks;
33.22;Installatie van industriële machines;
33.22.1;Installatie van machines voor algemeen gebruik (geen gereedschap);
33.22.2;Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen;
33.22.3;Installatie van machines voor een specifieke bedrijfstak;
33.23;Installatie van elektronische en optische apparatuur;
33.24;Installatie van elektrische apparatuur;
33.29;Installatie van overige toebehoren;
;;
;;
D;Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht ;
;;
35;Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht;
;;
35.1;"Productie van elektriciteit; transmissie en distributie van elektriciteit en aardgas";
35.11;Productie van elektriciteit;
35.11.1;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;
35.11.2;Productie van elektriciteit door windenergie ;
35.11.3;Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht;
35.12;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;
35.13;Distributie van elektriciteit en gasvormige brandstoffen via leidingen;
35.14;Handel in elektriciteit en in gas via leidingen;
;;
35.2;Productie van aardgas;
35.20;Productie van aardgas;
35.3;Productie en distributie van stoom en gekoelde lucht;
35.30;Productie en distributie van stoom en gekoelde lucht;
;;
;;
E;"Winning en distributie van water; afval- en afvalwaterbeheer en sanering ";
;;
36;Winning en distributie van water;
;;
36.0;Winning en distributie van water;
36.00;Winning en distributie van water;
;;
;;
37;Afvalwaterinzameling en -behandeling;
;;
37.0;Afvalwaterinzameling en -behandeling;
37.00;Afvalwaterinzameling en -behandeling;
;;
;;
38;"Afvalinzameling en -behandeling; voorbereiding tot recycling";
;;
38.1;Inzameling van afval;
38.11;Inzameling van onschadelijk afval;
38.12;Inzameling van schadelijk afval;
;;
38.2;Behandeling van afval;
38.21;Behandeling van onschadelijk afval;
38.22;Behandeling van schadelijk afval;
;;
38.3;Voorbereiding tot recycling;
38.31;Sloop van schepen, witgoed, computers e.d. ;
38.32;Gesorteerd materiaal voorbereiden tot recycling;
;;
;;
39;Sanering en overig afvalbeheer;
;;
39.0;Sanering en overig afvalbeheer;
39.00;Sanering en overig afvalbeheer;
;;
;;
F;Bouwnijverheid;
;;
41;Algemene burgerlijke en utiliteitsbouw en projectontwikkeling;
;;
41.1;Projectontwikkeling;
41.10;Projectontwikkeling;
;;
41.2;Algemene burgerlijke en utiliteitsbouw;
41.20;Algemene burgerlijke en utiliteitsbouw;
;;
;;
42;Grond-, water- en wegenbouw (geen grondverzet) ;
42.1;Bouw van wegen, spoorwegen en kunstwerken;
42.11;Wegenbouw en stratenmaken;
42.11.1;Wegenbouw;
42.11.2;Stratenmaken;
42.12;Bouw van boven- en ondergrondse spoorwegen;
42.13;Bouw van kunstwerken;
;;
42.2;Leggen van kabels en buizen ;
42.21;"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling";
42.22;Leggen van elektriciteits- en telecommunicatiekabels ;
;;
42.9 ;Bouw van overige civieltechnische werken;
42.91;Natte waterbouw;
42.99;Bouw van overige civieltechnische werken (rest);
;;
;;
43;Gespecialiseerde werkzaamheden in de bouw;
;;
43.1;Slopen van bouwwerken, grondverzet en proefboren;
43.11;Slopen van bouwwerken;
43.12;Grondverzet;
43.13;Proefboren;
;;
43.2;Bouwinstallatie;
43.21;Elektrotechnische bouwinstallatie;
43.22;"Loodgieters- en fitterswerk; installatie van sanitair en van verwarmings- en luchtbehandelingsapparatuur";
43.22.1;"Loodgieters- en fitterswerk; installatie van sanitair ";
43.22.2;Installatie van verwarmings- en luchtbehandelingsapparatuur;
43.29;Overige bouwinstallatie;
;;
43.3;Afwerking van gebouwen;
43.31;Stukadoren;
43.32;Bouwtimmeren;
43.33;Afwerking van vloeren en wanden ;
43.34;Schilderen en glaszetten;
43.39;Overige afwerking van gebouwen;
;;
43.9 ;Dakbouw en overige gespecialiseerde werkzaamheden in de bouw;
43.91;Dakdekken en bouwen van dakconstructies ;
43.99;Overige gespecialiseerde werkzaamheden in de bouw;
43.99.1;Heien en andere funderingswerkzaamheden;
43.99.2;Vlechten van betonstaal;
43.99.3;Metselen en voegen;
43.99.9;Overige gespecialiseerde werkzaamheden in de bouw (rest);
;;
;;
G;"Groot- en detailhandel; reparatie van auto’s ";
;;
45 ;Handel in en reparatie van auto’s, motorfietsen en aanhangers;
;;
45.1;Handel in auto’s en aanhangers, eventueel gecombineerd met reparatie;
45.11;Handel in en reparatie van personenauto's en lichte bedrijfsauto’s;
45.11.1;Import van nieuwe personenauto's en lichte bedrijfsauto’s;
45.11.2;Handel in en reparatie van personenauto's en lichte bedrijfsauto’s (geen import van nieuwe);
45.19;Handel in en reparatie van zwaardere bedrijfsauto’s, aanhangers en caravans;
45.19.1;Import van nieuwe bedrijfsauto's;
45.19.2;Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe) ;
45.19.3;Handel in en reparatie van aanhangwagens en opleggers (geen caravans);
45.19.4;Handel in en reparatie van caravans;
45.2;Gespecialiseerde reparatie van auto's;
45.20;Gespecialiseerde reparatie van auto's;
45.20.1;Auto-onderdelenservicebedrijven;
45.20.2;Bandenservicebedrijven;
45.20.3;Reparatie van specifieke auto-onderdelen;
45.20.4;Carrosserieherstel;
45.20.5;"Overige gespecialiseerde reparatie; wassen en slepen van auto's";
;;
45.3;Handel in auto-onderdelen en -accessoires ;
45.31;Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires;
45.31.1;Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden);
45.31.2;Groothandel en handelsbemiddeling in banden;
45.32;Detailhandel in auto-onderdelen en -accessoires;
;;
45.4;Handel in en reparatie van motorfietsen en onderdelen daarvan ;
45.40;Handel in en reparatie van motorfietsen en onderdelen daarvan;
45.40.1;Groothandel en handelsbemiddeling in motorfietsen en onderdelen daarvan;
45.40.2;Detailhandel in en reparatie van motorfietsen en onderdelen daarvan;
;;
;;
46;Groothandel en handelsbemiddeling (niet in auto's en motorfietsen);
;;
46.1;Handelsbemiddeling;
46.11;Handelsbemiddeling in landbouwproducten, levende dieren en grondstoffen voor textiel en voedingsmiddelen ;
46.12;Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten ;
46.13;Handelsbemiddeling in hout, vlakglas, sanitair en bouwmaterialen ;
46.14;Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen;
46.15;Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren ;
46.16;Handelsbemiddeling in textiel, kleding, schoeisel en lederwaren;
46.17;Handelsbemiddeling in voedings- en genotmiddelen;
46.18;Handelsbemiddeling gespecialiseerd in overige goederen;
46.19;Niet-gespecialiseerde handelsbemiddeling ;
;;
46.2 ;Groothandel in landbouwproducten en levende dieren;
46.21;Groothandel in granen, ruwe tabak, oliën, zaden en veevoer;
46.21.1;Groothandel in granen                                                  ;
46.21.2;Groothandel in zaden, pootgoed en peulvruchten ;
46.21.3;Groothandel in hooi, stro en ruwvoeder ;
46.21.4;Groothandel in meng- en krachtvoeder ;
46.21.5;Groothandel in veevoeder (geen ruw-, meng- en krachtvoeder) ;
46.21.6;Groothandel in ruwe plantaardige en dierlijke oliën en vetten en oliehoudende grondstoffen;
46.21.7;Groothandel in ruwe tabak;
46.21.8;Groothandel in akkerbouwproducten en veevoeder algemeen assortiment;
46.21.9;Groothandel in overige akkerbouwproducten;
46.22;Groothandel in bloemen en planten;
46.23;Groothandel in levende dieren;
46.23.1;Groothandel in levend vee;
46.23.2 ;Groothandel in huisdieren, siervissen, siervogels en wilde dieren;
46.24;Groothandel in huiden, vellen, leer en halffabrikaten van leer;
46.24.1;Groothandel in huiden en vellen;
46.24.2;Groothandel in leer en halffabrikaten van leer;
;;
46.3 ;Groothandel in voedings- en genotmiddelen;
46.31;Groothandel in groenten en fruit en in consumptie-aardappelen;
46.31.1;Groothandel in groenten en fruit;
46.31.2;Groothandel in consumptie-aardappelen;
46.32;Groothandel in vlees en vleeswaren en in wild en gevogelte (niet levend);
46.33;Groothandel in zuivelproducten, spijsoliën en -vetten en eieren;
46.33.1;Groothandel in zuivelproducten en spijsoliën en -vetten;
46.33.2;Groothandel in eieren;
46.34;Groothandel in dranken (geen zuivel);
46.35;Groothandel in tabaksproducten en rokersbenodigdheden;
46.36;Groothandel in suiker, chocolade en suikerwerk;
46.37;Groothandel in koffie, thee, cacao en specerijen (geen ruwe);
46.38;Groothandel in overige voedingsmiddelen en in overige grondstoffen en halffabrikaten voor de voedingsmiddelenindustrie;
46.38.1;Groothandel in snacks ;
46.38.2;Groothandel in vis, schaal- en weekdieren ;
46.38.3;Gespecialiseerde groothandel in overige voedings- en genotmiddelen (rest);
46.38.4;Groothandel in bakkerijgrondstoffen ;
46.38.9;Gespecialiseerde groothandel in overige grondstoffen en halffabrikaten voor de voedingsmiddelenindustrie (rest) ;
46.39;Groothandel in voedings- en genotmiddelen algemeen assortiment;
;;
46.4 ;Groothandel in consumentenartikelen (non-food);
46.41;Groothandel in kledingstoffen, fournituren en huishoudtextiel;
46.41.1;Groothandel in kledingstoffen en fournituren;
46.41.2;Groothandel in huishoudtextiel en beddengoed;
46.42;Groothandel in kleding, schoenen en mode-artikelen;
46.42.1;Groothandel in bovenkleding;
46.42.2;Groothandel in werkkleding;
46.42.3;Groothandel in onderkleding;
46.42.4;Groothandel in schoenen;
46.42.5;Groothandel in mode-artikelen;
46.42.9;Groothandel in textielwaren algemeen assortiment;
46.43;Groothandel in elektrische huishoudelijke apparatuur, audio- en videoapparatuur en fotografische en optische artikelen;
46.43.1;Groothandel in witgoed ;
46.43.2;Groothandel in elektrische huishoudelijke apparatuur (geen witgoed, audio en video);
46.43.3;Groothandel in audio- en video-apparatuur ;
46.43.4;Groothandel in fotografische artikelen;
46.43.5;Groothandel in beeld- en geluidsdragers;
46.43.6;Groothandel in optische artikelen;
46.44;Groothandel in glas, porselein en aardewerk en in reinigingsmiddelen ;
46.44.1;Groothandel in glas, porselein en aardewerk;
46.44.2;Groothandel in was-, poets- en reinigingsmiddelen;
46.45;Groothandel in parfums en cosmetica;
46.46;Groothandel in farmaceutische producten, medische instrumenten en orthopedische artikelen ;
46.46.1;Groothandel in farmaceutische producten;
46.46.2;Groothandel in medische en tandheelkundige instrumenten, verpleeg- en orthopedische artikelen en laboratoriumbenodigdheden;
46.47;Groothandel in huismeubilair, woningtextiel, vloerbedekking en verlichting ;
46.47.1;Groothandel in huismeubilair;
46.47.2;Groothandel in woningtextiel en vloerbedekking;
46.47.3;Groothandel in verlichtingsartikelen;
46.48;Groothandel in juweliersartikelen en uurwerken;
46.49;Groothandel in overige consumentenartikelen (non-food);
46.49.1;Groothandel in fietsen en bromfietsen;
46.49.2;Groothandel in watersportartikelen;
46.49.3;Groothandel in kampeerartikelen (geen caravans);
46.49.4;Groothandel in speelgoed;
46.49.5;Groothandel in muziekinstrumenten;
46.49.6;Groothandel in sportartikelen (geen watersport);
46.49.7;Groothandel in papier- en kartonwaren (geen verpakkingsmateriaal);
46.49.8;Groothandel in boeken, tijdschriften en overig drukwerk;
46.49.9;Groothandel in overige consumentenartikelen (rest, non-food);
;;
46.5 ;Groothandel in ICT-apparatuur;
46.51;Groothandel in computers, randapparatuur en software;
46.52;Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen;
;;
46.6 ;Groothandel in machines, apparaten en toebehoren voor industrie en handel;
46.61;Groothandel in landbouwmachines, werktuigen en tractoren;
46.62;Groothandel in gereedschapswerktuigen;
46.63;Groothandel in machines voor de bouw;
46.64;Groothandel in machines voor de textielindustrie en in naai- en breimachines;
46.65;Groothandel in bedrijfsmeubels;
46.66;Groothandel in kantoormachines (geen computers);
46.68;Groothandel in machines voor de grafische en voedings- en genotmiddelenindustrie ;
46.68.1;Groothandel in machines voor de grafische industrie;
46.68.2;Groothandel in machines voor de voedings- en genotmiddelenindustrie;
46.69;Groothandel in overige machines, apparaten en toebehoren voor industrie en handel ;
46.69.1;Groothandel in intern transportmaterieel;
46.69.2;Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek;
46.69.3;Groothandel in verbrandingsmotoren, pompen en compressoren;
46.69.4;Groothandel in appendages, technische toebehoren e.d.;
46.69.5;Groothandel in meet- en regelapparaten;
46.69.6;Groothandel in emballage;
46.69.7;Groothandel in scheepsbenodigdheden en visserij-artikelen;
46.69.9;Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest);
;;
46.7 ;Overige gespecialiseerde groothandel;
46.71;Groothandel in brandstoffen en overige minerale olieproducten;
46.71.1;Groothandel in vaste brandstoffen ;
46.71.2;Groothandel in vloeibare en gasvormige brandstoffen;
46.71.3;Groothandel in minerale olieproducten (geen brandstoffen);
46.72;Groothandel in metalen en metaalertsen;
46.72.1;Groothandel in metaalertsen;
46.72.2;Groothandel in ferrometalen en -halffabrikaten;
46.72.3;Groothandel in non-ferrometalen en -halffabrikaten;
46.73;Groothandel in hout, sanitair en overige bouwmaterialen;
46.73.1;Groothandel in hout en plaatmateriaal;
46.73.2;Groothandel in verf en verfwaren;
46.73.3;Groothandel in behang;
46.73.4;Groothandel in vlakglas;
46.73.5;Groothandel in zand en grind;
46.73.6;Groothandel in tegels en plavuizen;
46.73.7;Groothandel in sanitaire artikelen en sanitair installatiemateriaal ;
46.73.8;Groothandel gespecialiseerd in overige bouwmaterialen;
46.73.9;Groothandel in bouwmaterialen algemeen assortiment ;
46.74;Groothandel in ijzer- en metaalwaren en verwarmingsapparaten;
46.74.1;Groothandel in ijzer- en metaalwaren;
46.74.2;Groothandel in verwarmingsapparaten;
46.75;Groothandel in chemische producten;
46.75.1;Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing;
46.75.2;Groothandel in bestrijdingsmiddelen en meststoffen;
46.76;Groothandel in overige intermediaire producten;
46.76.1;Groothandel in textielgrondstoffen en -halffabrikaten;
46.76.2;Groothandel in papier en karton;
46.76.9;Groothandel in overige intermediaire producten (rest);
46.77;Groothandel in afval en schroot;
46.77.1;Groothandel in autosloopmateriaal;
46.77.2;Groothandel in ijzer- en staalschroot en oude non-ferrometalen;
46.77.9;Groothandel in overige oude materialen en afvalstoffen;
;;
46.9;Niet-gespecialiseerde groothandel;
46.90;Niet-gespecialiseerde groothandel;
46.90.1;Niet-gespecialiseerde groothandel in consumentenartikelen;
46.90.2;Niet-gespecialiseerde groothandel in niet-consumentenartikelen;
;;
;;
47;Detailhandel (niet in auto's);
;;
47.1 ;Supermarkten, warenhuizen en dergelijke winkels met een algemeen assortiment;
47.11;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen;
47.19;Warenhuizen en dergelijke winkels met een algemeen assortiment non-food;
47.19.1;Warenhuizen;
47.19.2;Winkels met een algemeen assortiment non-food (geen warenhuizen);
;;
47.2 ;Gespecialiseerde winkels in voedings- en genotmiddelen ;
47.21;Winkels in aardappelen, groenten en fruit ;
47.22;Winkels in vlees en vleeswaren, wild en gevogelte ;
47.22.1;Winkels in vlees en vleeswaren;
47.22.2;Winkels in wild en gevogelte;
47.23;Winkels in vis;
47.24;Winkels in brood, banket, chocolade en suikerwerk ;
47.24.1;Winkels in brood en banket;
47.24.2;Winkels in chocolade en suikerwerk;
47.25;Winkels in dranken;
47.26;Winkels in tabaksproducten;
47.29;Gespecialiseerde winkels in overige voedings- en genotmiddelen ;
47.29.1;Winkels in kaas;
47.29.2;Winkels in natuurvoeding en reformartikelen;
47.29.3;Winkels in buitenlandse voedingsmiddelen;
47.29.9;Gespecialiseerde winkels in overige voedings- en genotmiddelen (rest);
;;
47.3 ;Benzinestations;
47.30;Benzinestations;
;;
47.4 ;Winkels in consumentenelektronica;
47.41;Winkels in computers, randapparatuur en software;
47.42;Winkels in telecommunicatieapparatuur ;
47.43;Winkels in audio- en videoapparatuur of in een algemeen assortiment van wit- en  bruingoed;
47.43.1;Winkels in audio- en videoapparatuur;
47.43.2;Winkels in een algemeen assortiment van wit- en bruingoed ;
;;
47.5 ;Winkels in overige huishoudelijke artikelen;
47.51;Winkels in kledingstoffen, huishoudtextiel en fournituren ;
47.51.1;Winkels in kledingsstoffen;
47.51.2;Winkels in  huishoudtextiel;
47.51.3;Winkels in breiwol, handwerken en fournituren;
47.52;Winkels in doe-het-zelfartikelen;
47.52.1;Winkels in ijzerwaren en gereedschappen;
47.52.2;Winkels in verf, verfwaren en behang;
47.52.3;Winkels in houten bouw- en tuinmaterialen;
47.52.4;Winkels in tegels;
47.52.5;Winkels in keukens;
47.52.6;Winkels in parket-, laminaat- en kurkvloeren;
47.52.7;Winkels gespecialiseerd in overige doe-het-zelfartikelen;
47.52.8;Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment;
47.53;Winkels in vloerbedekking en gordijnen ;
47.54;Winkels in elektrische huishoudelijke apparatuur en onderdelen daarvoor;
47.54.1;Winkels in witgoed;
47.54.2;Winkels in naai- en breimachines;
47.54.3;Winkels in overige elektrische huishoudelijke apparatuur;
47.54.4;Winkels in onderdelen voor elektrische huishoudelijke apparatuur;
47.59;Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest);
47.59.1;Winkels in meubels;
47.59.2;Winkels in verlichtingsartikelen;
47.59.3;Winkels in artikelen voor woninginrichting algemeen assortiment;
47.59.4;Winkels in muziekinstrumenten;
47.59.5;Winkels in glas-, porselein- en aardewerk;
47.59.6;Winkels gespecialiseerd in overige huishoudelijke artikelen (rest);
47.59.7;Winkels in huishoudelijke artikelen algemeen assortiment;
;;
47.6 ;Winkels in lectuur, sport-, kampeer- en recreatie-artikelen;
47.61;Winkels in boeken ;
47.62;Winkels in kranten, tijdschriften en kantoorbehoeften ;
47.63;Winkels in audio- en video-opnamen;
47.64;Winkels in fietsen en bromfietsen, sport- en kampeerartikelen en boten ;
47.64.1;Winkels in fietsen en bromfietsen;
47.64.2;Winkels in watersportartikelen;
47.64.3;Winkels in sportartikelen (geen watersport);
47.64.4;Winkels in kampeerartikelen (geen caravans);
47.65;Winkels in speelgoed;
;;
47.7 ;Winkels in overige artikelen;
47.71;"Winkels in kleding en mode-artikelen; textielsupermarkten";
47.71.1;Winkels in herenkleding ;
47.71.2;Winkels in dameskleding ;
47.71.3;Winkels in bovenkleding en mode-artikelen (algemeen assortiment) ;
47.71.4;Winkels in baby- en kinderkleding;
47.71.5;Winkels in babyartikelen algemeen assortiment;
47.71.6;Winkels in onderkleding, foundations e.d.;
47.71.7;Winkels in mode-artikelen;
47.71.8;Textielsupermarkten;
47.72;Winkels in schoenen en lederwaren ;
47.72.1;Winkels in schoenen;
47.72.2;Winkels in lederwaren en reisartikelen;
47.73;Apotheken;
47.74;Winkels in drogisterij-, medische en orthopedische artikelen;
47.74.1;Winkels in drogisterij-artikelen ;
47.74.2;Winkels in medische en orthopedische artikelen;
47.75;Winkels in parfums en cosmetica;
47.76;Winkels in bloemen, planten, zaden, tuinbenodigdheden, huisdieren en dierbenodigdheden ;
47.76.1;Winkels in bloemen en planten, zaden en tuinbenodigdheden;
47.76.2;Tuincentra;
47.76.3;Winkels in dieren, dierbenodigdheden en hengelsportartikelen;
47.77;Winkels in juweliersartikelen en uurwerken ;
47.78;Winkels in overige artikelen (rest);
47.78.1;Winkels in fotografische artikelen;
47.78.2;Winkels in optische artikelen;
47.78.3;Winkels in schilderijen, lijsten, prenten, kunstvoorwerpen en religieuze artikelen;
47.78.9;Winkels gespecialiseerd in overige artikelen (rest);
47.79;Winkels in antiek en tweedehands goederen ;
47.79.1;Winkels in antiek;
47.79.2;Winkels in tweedehands kleding;
47.79.3;Winkels in tweedehands goederen (geen kleding);
;;
47.8 ;Markthandel;
47.81;Markthandel in voedings- en genotmiddelen;
47.81.1;Markthandel in aardappelen, groenten en fruit;
47.81.9;Markthandel in overige voedings- en genotmiddelen;
47.82;Markthandel in textiel, kleding en schoenen;
47.89;Markthandel in non-food artikelen (geen textiel, kleding en schoenen);
47.89.1;Markthandel in bloemen, planten, zaden en tuinbenodigdheden;
47.89.2;Markthandel in tweedehands goederen;
47.89.9;Markthandel in overige goederen;
;;
47.9 ;Detailhandel niet via winkel of markt;
47.91;Detailhandel via internet;
47.91.1;Detailhandel via internet in voedingsmiddelen en drogisterijwaren ;
47.91.2;Detailhandel via internet in consumentenelektronica ;
47.91.3;Detailhandel via internet in boeken, tijdschriften, cd's, dvd’s ;
47.91.4;Detailhandel via internet in kleding en mode-artikelen;
47.91.5;Detailhandel via internet in huis- en tuinartikelen;
47.91.6;Detailhandel via internet in vrijetijdsartikelen;
47.91.8;Detailhandel via internet in overige non-food;
47.91.9;Detailhandel via internet in een algemeen assortiment non-food;
47.99;Colportage, straathandel en detailhandel via overige distributievormen;
47.99.1 ;Colportage;
47.99.2;Straathandel;
47.99.9;Detailhandel via overige distributievormen;
;;
;;
H;Vervoer en opslag ;
;;
49 ;Vervoer over land;
;;
49.1 ;Personenvervoer per spoor (geen tram of metro);
49.10;Personenvervoer per spoor (geen tram of metro);
;;
49.2 ;Goederenvervoer per spoor;
49.20;Goederenvervoer per spoor;
 ;;
49.3;Personenvervoer over de weg;
49.31;Openbaar vervoer binnen steden;
49.32;Vervoer per taxi;
49.39;Vervoer per bus, tram en metro (geen stadsvervoer);
49.39.1;Ongeregeld besloten busvervoer;
49.39.2;Streekvervoer per bus, tram en metro;
49.39.3;Geregeld besloten busvervoer;
;;
49.4 ;Goederenvervoer over de weg;
49.41;Goederenvervoer over de weg (geen verhuizingen);
49.42;Verhuisvervoer;
;;
49.5 ;Transport via pijpleidingen;
49.50;Transport via pijpleidingen;
;;
;;
50;Vervoer over water;
;;
50.1 ;Zee- en kustvaart (passagiersvaart en veerdiensten);
50.10;Zee- en kustvaart (passagiersvaart en veerdiensten);
;;
50.2;Zee- en kustvaart (vracht-, tank- en sleepvaart);
50.20;Zee- en kustvaart (vracht-, tank- en sleepvaart);
50.20.1;"Zee- en kustvaart (vracht- en tankvaart; geen sleepvaart)";
50.20.2;Zee- en kustsleepvaart ;
;;
50.3 ;Binnenvaart (passagiersvaart en veerdiensten);
50.30;Binnenvaart (passagiersvaart en veerdiensten);
;;
50.4;Binnenvaart (vracht-, tank- en sleepvaart);
50.40;Binnenvaart (vracht-, tank- en sleepvaart);
50.40.1;Binnenvaart (vrachtvaart);
50.40.2;Binnenvaart (tankvaart) ;
50.40.3;Binnenvaart (sleep- en duwvaart);
;;
;;
51;Luchtvaart;
;;
51.1 ;Personenvervoer door de lucht;
51.10;Personenvervoer door de lucht;
;;
51.2;Goederenvervoer door de lucht;
51.21;Goederenvervoer door de lucht;
;;
;;
52 ;Opslag en dienstverlening voor vervoer;
;;
52.1 ;Opslag;
52.10;Opslag;
52.10.1;Opslag in tanks;
52.10.2;Opslag in koelhuizen e.d.;
52.10.9;Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.);
;;
52.2 ;Dienstverlening voor vervoer;
52.21;Dienstverlening voor vervoer over land;
52.22;Dienstverlening voor vervoer over water;
52.23;Dienstverlening voor de luchtvaart;
52.24;Laad-, los- en overslagactiviteiten ;
52.24.1;Laad-, los- en overslagactiviteiten voor zeevaart;
52.24.2;Laad-, los- en overslagactiviteiten niet voor zeevaart;
52.29;"Expediteurs, cargadoors en bevrachters; weging en meting";
52.29.1;Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer;
52.29.2;Weging en meting;
;;
;;
53 ;Post en koeriers;
;;
53.1;Nationale post met universele dienstverplichting;
53.10;Nationale post met universele dienstverplichting ;
;;
53.2;Post zonder universele dienstverplichting en koeriers;
53.20;Post zonder universele dienstverplichting en koeriers ;
53.20.1;Post zonder universele dienstverplichting ;
53.20.2;Koeriers;
;;
;;
I ;Logies-, maaltijd- en drankverstrekking ;
;;
55 ;Logiesverstrekking;
;;
55.1 ;Hotels e.d.;
55.10;Hotels e.d.;
55.10.1;Hotel-restaurants;
55.10.2;Hotels (geen hotel-restaurants), pensions en conferentie-oorden;
;;
55.2;"Verhuur van vakantiehuisjes en appartementen; jeugdherbergen en vakantiekampen ";
55.20;"Verhuur van vakantiehuisjes en appartementen; jeugdherbergen en vakantiekampen ";
55.20.1 ;Verhuur van vakantiehuisjes en appartementen;
55.20.2;Jeugdherbergen , vakantiekampen, groepsaccommodaties;
;;
55.3 ;Kampeerterreinen;
55.30;Kampeerterreinen;
;;
55.9 ;Overige logiesverstrekking;
55.90;Overige logiesverstrekking;
;;
;;
56;Eet- en drinkgelegenheden;
;;
56.1 ;Restaurants, cafetaria’s e.d.;
56.10;Restaurants, cafetaria’s e.d. en ijssalons ;
56.10.1;Restaurants;
56.10.2;Cafetaria's, lunchrooms, snackbars, ijssalons, eetkramen e.d.  ;
;;
56.2 ;Kantines en catering;
56.21;Eventcatering;
56.29;Kantines en contractcatering ;
;;
56.3;Cafés;
