A;Landbouw, bosbouw en visserij;
56.30;Cafés;
J ;Informatie en communicatie;
  ;;
58;Uitgeverijen;
;;
58.1 ;"Uitgeverijen van boeken, tijdschriften e.d.; databanken";
58.11;Uitgeverijen van boeken;
58.12;Databanken;Databanken
58.13;Uitgeverijen van kranten;
58.14;Uitgeverijen van tijdschriften;
58.19;Overige uitgeverijen (niet van software);
;;
58.2 ;Uitgeverijen van software;
58.21;Uitgeverijen van computerspellen;
58.29;Overige uitgeverijen van software;
;;
;;
59;"Productie en distributie van films en televisieprogramma´s; maken en uitgeven van geluidsopnamen";
;;
59.1;Productie en distributie van films en televisieprogramma's;
59.11;Productie van films en televisieprogramma's;
59.11.1;Productie van films (geen televisiefilms);
59.11.2;Productie van televisieprogramma’s;
59.12;Facilitaire activiteiten voor film- en televisieproductie;
59.13;Distributie van films en televisieproducties;
59.14;Bioscopen;
;;
59.2;Maken en uitgeven van geluidsopnamen ;
59.20;Maken en uitgeven van geluidsopnamen ;
;;
;;
60;Verzorgen en uitzenden van radio- en televisieprogramma's;
;;
60.1 ;Radio-omroepen;
60.10;Radio-omroepen;
;;
60.2;Televisie-omroepen;
60.20;Televisie-omroepen;
;;
;;
61 ;Telecommunicatie;
;;
61.1 ;Draadgebonden telecommunicatie;
61.10;Draadgebonden telecommunicatie;
;;
61.2 ;Draadloze telecommunicatie;
61.20;Draadloze telecommunicatie;
;;
61.3;Telecommunicatie via satelliet;
61.30;Telecommunicatie via satelliet;
;;
61.9 ;Overige telecommunicatie;
61.90;Overige telecommunicatie;
;;
;;
62 ;Dienstverlenende activiteiten op het gebied van informatietechnologie;
;;
62.0 ;Dienstverlenende activiteiten op het gebied van informatietechnologie;
62.01;Ontwikkelen, produceren en uitgeven van software;
62.02;Advisering op het gebied van informatietechnologie;
62.03;Beheer van computerfaciliteiten;
62.09;Overige dienstverlenende activiteiten op het gebied van informatietechnologie;
;;
;;
63;Dienstverlenende activiteiten op het gebied van informatie;
;;
63.1 ;"Gegevensverwerking, webhosting en aanverwante activiteiten; webportals";
63.11;Gegevensverwerking, webhosting en aanverwante activiteiten;
63.12;Webportals;
;;
63.9;Overige dienstverlenende activiteiten op het gebied van informatie;
63.91;Persagentschappen;
63.99;Overige dienstverlenende activiteiten op het gebied van informatie (rest);
;;
;;
K;Financiële instellingen ;
;;
64;Financiële instellingen (geen verzekeringen en pensioenfondsen);
;;
64.1 ;Geldscheppende financiële instellingen;
64.11;Centrale banken;
64.19;Overige geldscheppende financiële instellingen;
64.19.1;Coöperatief georganiseerde banken;
64.19.2;Effectenkredietinstellingen;
64.19.3;Spaarbanken;
64.19.4;Algemene banken;
;;
64.2;Financiële holdings;
64.20;Financiële holdings;
;;
64.3;Beleggingsinstellingen;
64.30;Beleggingsinstellingen;
64.30.1 ;Beleggingsinstellingen in financiële activa;
64.30.2;Beleggingsinstellingen in vaste activa;
64.30.3;Beleggingsinstellingen met beperkte toetreding;
;;
64.9;Kredietverstrekking en overige financiële intermediatie;
64.91;Financiële lease;
64.92;Overige kredietverstrekking;
64.92.1;Hypotheekbanken en bouwfondsen;
64.92.2;Volkskredietbanken en commerciële financieringsmaatschappijen;
64.92.3;Participatiemaatschappijen;
64.92.4;Wisselmakelaars en overige kredietverstrekking;
64.99;Overige financiële intermediatie;
;;
;;
65 ;Verzekeringen en pensioenfondsen (geen verplichte sociale verzekeringen);
;;
65.1 ;Verzekeringen (geen herverzekering);
65.11;Levensverzekeringen (geen herverzekering), naturaverzekeringen en spaarkassen;
65.11.1;Levensverzekeringen (geen herverzekering) ;
65.11.2;Naturaverzekeringen ;
65.11.3;Spaarkassen;
65.12;Schadeverzekeringen (geen herverzekering);
;;
65.2 ;Herverzekering;
65.20;Herverzekering;
;;
65.3 ;Pensioenfondsen;
65.30;Pensioenfondsen;
65.30.1;Bedrijfstakpensioenfondsen;
65.30.2;Ondernemingspensioenfondsen en -spaarfondsen;
65.30.3;Beroepspensioenfondsen;
65.30.9;Overige pensioenfondsen;
;;
;;
66 ;Overige financiële dienstverlening;
;;
66.1 ;Financiële bemiddeling, advisering e.d. (niet voor verzekeringen en pensioenfondsen);
66.11;Beheer van financiële markten;
66.12;Commissionairs en makelaars in effecten, beleggingsadviseurs e.d.;
66.19;Administratiekantoren voor aandelen en obligaties, marketmakers, hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d.;
66.19.1;Administratiekantoren voor aandelen en obligaties;
66.19.2;Marketmakers;
66.19.3;Hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d.;
;;
66.2;Dienstverlening op het gebied van verzekeringen en pensioenfondsen;
66.21;Risicoanalisten en schadetaxateurs;
66.22;Assurantietussenpersonen;
66.29;Overige dienstverlening op het gebied van verzekeringen en pensioenfondsen (geen taxateurs en assurantietussenpersonen);
66.29.1;Verzekeringsbeurzen;
66.29.2;"Actuariële en pensioenadviesbureaus; beheer en administratie van pensioenvermogens";
66.29.3;Waarborgfondsen;
66.29.9;Overige dienstverlening  op het gebied van verzekeringen en pensioenfondsen (rest);
;;
66.3 ;Vermogensbeheer;
66.30;Vermogensbeheer;
;;
L ;Verhuur van en handel in onroerend goed;
;;
68 ;Verhuur van en handel in onroerend goed;
;;
68.1 ;Handel in eigen onroerend goed;
68.10;Handel in eigen onroerend goed;
;;
68.2 ;Verhuur van onroerend goed;
68.20;Verhuur van onroerend goed;
68.20.1;Woningbouwverenigingen en -stichtingen;
68.20.2;Gemeentelijke woningbedrijven;
68.20.3;Verhuur van overige woonruimte;
68.20.4;Verhuur van onroerend goed (niet van woonruimte);
;;
68.3;Bemiddeling in en beheer van onroerend;
68.31;Bemiddeling bij handel, huur of verhuur van onroerend goed;
68.32;Beheer van onroerend goed;
;;
  ;;
M ;Advisering, onderzoek en overige specialistische zakelijke dienstverlening ;
  ;;
69 ;Rechtskundige dienstverlening, accountancy, belastingadvisering en administratie ;
;;
69.1 ;Rechtskundige dienstverlening;
69.10 ;Rechtskundige dienstverlening;
69.10.1;Advocatenkantoren, bewindvoerders en curatoren ;
69.10.2;Rechtskundige adviesbureaus;
69.10.3;Notariskantoren;
69.10.4;Deurwaarderskantoren;
69.10.5;Octrooibureaus;
;;
69.2 ;Accountancy, belastingadvisering en administratie;
69.20;Accountancy, belastingadvisering en administratie;
69.20.1;Registeraccountants;
69.20.2;Accountants-administratieconsulenten;
69.20.3;Boekhoudkantoren ;
69.20.4;Belastingconsulenten;
69.20.9;Overige administratiekantoren;
;;
;;
70 ;Holdings (geen financiële), concerndiensten binnen eigen concern en managementadvisering;
;;
70.1 ;Holdings (geen financiële) en concerndiensten binnen eigen concern;
70.10 ;Holdings (geen financiële) en concerndiensten binnen eigen concern;
70.10.1;Concerndiensten binnen eigen concern;
70.10.2;Holdings (geen financiële);
;;
70.2 ;Advisering op het gebied van management en bedrijfsvoering;
70.21;Public relationsbureaus;
70.22;Advisering op het gebied van management en bedrijfsvoering (geen public relations);
70.22.1;Organisatie-adviesbureaus;
70.22.2;Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie-adviesbureaus);
;;
;;
71;"Architecten, ingenieurs en technisch ontwerp en advies; keuring en controle";
;;
71.1 ;Architecten, ingenieurs en technisch ontwerp en advies;
71.11;Architecten ;
71.11.1;Architecten (geen interieurarchitecten);
71.11.2 ;Interieurarchitecten;
71.12;Ingenieurs en overig technisch ontwerp en advies;
;;
71.2 ;Keuring en controle;
71.20;Keuring en controle ;
71.20.1;Keuring en controle van agrarische producten en voedingsmiddelen;
71.20.2;Keuring en controle van machines, apparaten en materialen;
71.20.3;Overige keuring en controle;
;;
;;
72 ;Speur- en ontwikkelingswerk ;
;;
72.1;Natuurwetenschappelijk speur- en ontwikkelingswerk;
72.11;Biotechnologisch speur- en ontwikkelingswerk;
72.11.1;Biotechnologisch speur- en ontwikkelingswerk op het gebied van agrarische producten en processen;
72.11.2;Biotechnologisch speur- en ontwikkelingswerk op het gebied van medische producten en farmaceutische processen en van voeding;
72.11.3;Biotechnologisch speur- en ontwikkelingswerk voor overige toepassingen;
72.19;Natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch);
72.19.1;Speur- en ontwikkelingswerk op het gebied van landbouw en visserij (niet biotechnologisch);
72.19.2;Technisch speur- en ontwikkelingswerk;
72.19.3;Speur- en ontwikkelingswerk op het gebied van gezondheid en voeding (niet biotechnologisch);
72.19.9;Overig natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch);
;;
72.2;Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen;
72.20;Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen;
;;
;;
73 ;Reclame en marktonderzoek;
;;
73.1 ;Reclamebureaus en  handel in advertentieruimte en -tijd;
73.11;Reclamebureaus;
73.12;Handel in advertentieruimte en -tijd;
;;
73.2 ;Markt- en opinieonderzoekbureaus;
73.20;Markt- en opinieonderzoekbureaus;
;;
;;
74 ;Industrieel ontwerp en vormgeving, fotografie, vertaling en overige consultancy;
;;
74.1 ;Industrieel ontwerp en vormgeving;
74.10;Industrieel ontwerp en vormgeving;
74.10.1;Communicatie- en grafisch ontwerp;
74.10.2 ;Industrieel en productontwerp;
74.10.3 ;Interieur- en ruimtelijk ontwerp;
;;
;;
;;
74.2 ;Fotografie en ontwikkelen van foto's en films;
74.20;Fotografie en ontwikkelen van foto's en films;
74.20.1;Fotografie;
74.20.2;Ontwikkelwinkels;
74.20.3;Ontwikkelcentrales;
;;
74.3 ;Vertalers en tolken;
74.30;Vertalers en tolken;
;;
74.9;Overige specialistische zakelijke dienstverlening;
74.90;Overige specialistische zakelijke dienstverlening;
;;
;;
75;Veterinaire dienstverlening;
;;
75.0;Veterinaire dienstverlening;
75.00;Veterinaire dienstverlening;
;;
;;
;;
N;Verhuur van roerende goederen en overige zakelijke dienstverlening ;
;;
77;Verhuur en lease van auto's, consumentenartikelen, machines en overige roerende goederen;
;;
77.1 ;Verhuur en lease van auto's;
77.11;Verhuur en lease van personenauto's en lichte bedrijfsauto’s;
77.11.1;Verhuur van personenauto’s en lichte bedrijfsauto’s (geen operational lease);
77.11.2;Operational lease van personenauto’s en lichte bedrijfsauto’s;
77.12;Verhuur en lease van vrachtwagens, autobussen, caravans en aanhangwagens;
;;
77.2 ;Verhuur van consumentenartikelen;
77.21;Verhuur van sport- en recreatieartikelen;
77.22;Videotheken;
77.29;Verhuur van overige consumentenartikelen;
77.29.1;Verhuur van leesportefeuilles;
77.29.2;Verhuur van kleding en huishoudelijke artikelen;
77.29.9;Verhuur van overige consumentenartikelen (rest) ;
;;
77.3;Verhuur en lease van machines en werktuigen en van overige goederen;
77.31;Verhuur en lease van landbouwmachines en ?werktuigen;
77.32;Verhuur en lease van machines en installaties voor de bouw;
77.33;Verhuur en lease van computers en kantoorapparatuur;
77.34;Verhuur en lease van schepen;
77.35;Verhuur en lease van vliegtuigen;
77.39;Verhuur en lease van overige machines en werktuigen en van overige goederen;
77.39.1;Verhuur van automaten;
77.39.9;Verhuur en lease van overige machines en werktuigen en van overige  goederen (geen automaten);
;;
77.4 ;Lease van niet-financiële immateriële activa;
77.40;Lease van niet-financiële immateriële activa;
;;
;;
78;Arbeidsbemiddeling, uitzendbureaus en personeelsbeheer;
;;
78.1 ;Arbeidsbemiddeling;
78.10;Arbeidsbemiddeling;
;;
78.2 ;Uitzendbureaus, uitleenbureaus en banenpools;
78.20;Uitzendbureaus, uitleenbureaus en banenpools;
78.20.1;Uitzendbureaus ;
78.20.2;Uitleenbureaus;
78.20.3;Banenpools (werkgelegenheidsprojecten);
;;
78.3;Payrolling (personeelsbeheer);
78.30;Payrolling (personeelsbeheer);
;;
;;
79;Reisbemiddeling, reisorganisatie, toeristische informatie en reserveringsbureaus;
;;
79.1;Reisbemiddeling en reisorganisatie;
79.11;Reisbemiddeling;
79.12;Reisorganisatie;
79.9 ;Informatieverstrekking op het gebied van toerisme en reserveringsbureaus;
79.90;Informatieverstrekking op het gebied van toerisme en reserveringsbureaus;
;;
;;
80 ;Beveiliging en opsporing;
;;
80.1;Particuliere beveiliging ;
80.10;Particuliere beveiliging ;
;;
80.2 ;Beveiliging via  beveiligingssystemen;
80.20;Beveiliging via  beveiligingssystemen;
;;
80.3 ;Opsporing;
80.30;Opsporing;
;;
;;
81;Facility management, reiniging en landschapsverzorging;
;;
81.1 ;Facility management;
81.10;Facility management;
;;
81.2 ;Reiniging;
81.21;Interieurreiniging van gebouwen;
81.22;Gespecialiseerde reiniging van gebouwen en industriële reiniging;
81.22.1  ;Glazenwassen;
81.22.2   ;Schoorsteenvegen;
81.22.9  ;Overige gespecialiseerde reiniging;
81.29;Overige reiniging ;
;;
81.3 ;Landschapsverzorging;
81.30;Landschapsverzorging;
;;
;;
82 ;Overige zakelijke dienstverlening;
;;
82.1 ;Brede administratieve en secretariële dienstverlening ;
82.11;Brede administratieve dienstverlening ;
82.19;Secretariële dienstverlening ;
;;
82.2 ;Callcenters;
82.20;Callcenters;
;;
82.3 ;Organiseren van congressen en beurzen;
82.30;Organiseren van congressen en beurzen;
;;
82.9 ;Overige zakelijke dienstverlening(rest);
82.91;Kredietinformatie- en incassobureaus;
82.92;Pakken, sorteren e.d. in loon;
82.99;Overige zakelijke dienstverlening (rest);
82.99.1;Veilingen van landbouw-, tuinbouw- en visserijproducten;
82.99.2;Veilingen van huisraad, kunst, antiek, machines e.d. roerende goederen;
82.99.9;Overige zakelijke dienstverlening (rest) ;
;;
;;
O;Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen;
;;
84;Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen;
;;
84.1;Openbaar bestuur;
84.11;Algemeen overheidsbestuur;
84.12;Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen);
84.13;Openbaar bestuur op het gebied van het bedrijfsleven;
;;
84.2 ;Overheidsdiensten;
84.21;Buitenlandse zaken;
84.22;Defensie;
84.23;Justitie;
84.23.1;Rechtspraak;
84.23.2;Ministerie van Justitie en gevangeniswezen;
84.24;Politie;
84.25;Brandweer;
;;
84.3;Verplichte sociale verzekeringen;
84.30;Verplichte sociale verzekeringen;
;;
;;
P;Onderwijs ;
  ;;
85;Onderwijs;
;;
85.2;Primair en speciaal onderwijs;
85.20;Primair en speciaal onderwijs;
85.20.1;Basisonderwijs voor leerplichtigen;
85.20.2;Speciaal basisonderwijs;
85.20.3;Speciaal onderwijs in expertisecentra;
;;
85.3;Voortgezet onderwijs;
85.31;Algemeen vormend voortgezet onderwijs;
85.31.1;Havo en vwo;
85.31.2;Voorbereidend middelbaar beroepsonderwijs;
85.31.3;Praktijkonderwijs;
85.31.4;Brede scholengemeenschappen voor voortgezet onderwijs;
;;
85.32;Middelbaar beroepsonderwijs en educatie;
85.32.1;Middelbaar beroepsonderwijs;
85.32.2;Educatie;
85.32.3;Middelbaar beroepsonderwijs en educatie (gecombineerd);
;;
85.4;Tertiair onderwijs;
85.41;Niet-universitair hoger onderwijs;
85.42;Universitair hoger onderwijs;
;;
85.5;Overig onderwijs;
85.51;Sport- en recreatieonderwijs;
85.51.1;Zeil- en surfscholen;
85.51.9;Overig sport- en recreatieonderwijs;
85.52;Cultureel onderwijs ;
85.52.1;Dansscholen;
85.52.2;Kunstzinnige vorming van amateurs (geen dansscholen);
85.53;Auto- en motorrijscholen;
85.59;Overig onderwijs (rest);
85.59.1;Afstandsonderwijs;
85.59.2;Bedrijfsopleiding en -training;
85.59.9;Studiebegeleiding, vorming en onderwijs (rest);
;;
85.6;Dienstverlening voor het onderwijs;
85.60;Dienstverlening voor het onderwijs;
;;
;;
Q;Gezondheids- en welzijnszorg ;
;;
86;Gezondheidszorg;
;;
86.1;Ziekenhuizen en geestelijke gezondheids- en verslavingszorg met overnachting;
86.10;Ziekenhuizen en geestelijke gezondheids- en verslavingszorg met overnachting;
86.10.1;Universitair medische centra ;
86.10.2;Algemene ziekenhuizen ;
86.10.3;Categorale ziekenhuizen ;
86.10.4;Geestelijke gezondheids- en verslavingszorg met overnachting;
;;
86.2;Medische en tandheelkundige praktijken ;
86.21;Praktijken van huisartsen;
86.22;Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde);
86.22.1;Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie);
;;
86.22.2;Praktijken van psychiaters en dagbehandelcentra voor geestelijke gezondheids- en verslavingszorg;
86.23;Tandartspraktijken;
86.23.1;Praktijken van tandartsen;
86.23.2;Praktijken van tandheelkundig specialisten;
;;
86.9;Paramedische praktijken en overige gezondheidszorg zonder overnachting;
86.91;Praktijken van verloskundigen en paramedici;
86.91.1;Praktijken van verloskundigen;
86.91.2;Praktijken van fysiotherapeuten;
86.91.3;Praktijken van psychotherapeuten, psychologen en pedagogen;
86.91.9;Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers;
86.92;Overige aanbieders van gezondheidszorg zonder overnachting en gezondheidsondersteunende diensten;
86.92.1;Gezondheidscentra;
86.92.2;Arbobegeleiding en reïntegratie;
86.92.3;Preventieve gezondheidszorg (geen arbobegeleiding);
86.92.4;Medische laboratoria, trombosediensten en overig behandelingsondersteunend onderzoek ;
86.92.5;Ambulancediensten en centrale posten;
86.92.9 ;Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten;
87 ;Verpleging, verzorging en begeleiding met overnachting;
;;
87.1;Verpleeghuizen;
87.10;Verpleeghuizen;
;;
87.2;Huizen en dagverblijven voor verstandelijk gehandicapten en psychiatrische cliënten;
87.20;Huizen en dagverblijven voor verstandelijk gehandicapten en psychiatrische cliënten ;
;;
87.3;Huizen en dagverblijven voor niet-verstandelijk gehandicapten en verzorgingshuizen ;
87.30;Huizen en dagverblijven voor niet-verstandelijk gehandicapten en verzorgingshuizen ;
87.30.1;Huizen en dagverblijven voor niet-verstandelijk gehandicapten ;
87.30.2;Verzorgingshuizen;
;;
87.9;Jeugdzorg en maatschappelijke opvang met overnachting;
87.90;Jeugdzorg en maatschappelijke opvang met overnachting ;
87.90.1;Jeugdzorg met overnachting en dagverblijven voor jeugdzorg;
87.90.2;Maatschappelijk opvang met overnachting ;
;;
;;
88;Maatschappelijke dienstverlening zonder overnachting;
;;
88.1;Maatschappelijke dienstverlening zonder overnachting gericht op ouderen en  gehandicapten;
88.10;Maatschappelijke dienstverlening zonder overnachting gericht op ouderen en  gehandicapten ;
88.10.1;Thuiszorg;
88.10.2;Welzijnswerk voor ouderen;
88.10.3;Ondersteuning en begeleiding van gehandicapten;
;;
88.9;Maatschappelijke dienstverlening zonder overnachting niet specifiek gericht op ouderen en gehandicapten;
88.91;Kinderopvang en peuterspeelzaalwerk;
88.91.1;Kinderopvang;
88.91.2;Peuterspeelzaalwerk;
88.99;Ambulante jeugdzorg, maatschappelijk werk en advies en lokaal welzijnswerk ;
88.99.1;Ambulante jeugdzorg;
88.99.2;Maatschappelijk werk ;
88.99.3;Lokaal welzijnswerk;
88.99.9;Overig maatschappelijk advies, gemeenschapshuizen en samenwerkingsorganen op het gebied van welzijn ;
;;
;;
R;Cultuur, sport en recreatie;
;  ;
90;Kunst;
;;
90.0;Kunst;
90.01;Podiumkunst en -vermaak;
90.01.1;Beoefening van podiumkunst;
90.01.2;Producenten van podiumkunst;
90.01.3;Circus en variété;
90.02;Dienstverlening voor uitvoerende kunst;
90.03;Schrijven en overige scheppende kunst;
90.04;Theaters, schouwburgen en evenementenhallen ;
90.04.1;Theaters en schouwburgen;
90.04.2;Evenementenhallen;
;;
;;
91 ;Culturele uitleencentra, openbare archieven, musea, dieren- en plantentuinen, natuurbehoud;
;;
91.0;Culturele uitleencentra, openbare archieven, musea, dieren- en plantentuinen, natuurbehoud;
91.01;Culturele uitleencentra en openbare archieven;
91.01.1;Openbare bibliotheken;
91.01.2;Kunstuitleencentra;
91.01.9;Overige culturele uitleencentra en openbare archieven;
91.02;Musea, kunstgalerieën en –expositieruimten;
91.02.1;Musea;
91.02.2;Kunstgalerieën en –expositieruimten;
91.03;Monumentenzorg;
91.04;"Dieren- en plantentuinen; natuurbehoud ";
91.04.1;Dieren- en plantentuinen, kinderboerderijen;
91.04.2;Natuurbehoud;
;;
;;
92;Loterijen en kansspelen;
;;
92.0;Loterijen en kansspelen;
92.00;Loterijen en kansspelen;
92.00.1;Loterijen en kansspelen (geen amusementsautomaten);
92.00.9;Exploitatie van amusements- en speelautomaten;
;;
;;
93;Sport en recreatie;
  ;;
93.1;Sport;
93.11;Sportaccommodaties;
93.11.1;Zwembaden;
93.11.2;Sporthallen, sportzalen en gymzalen;
93.11.3;Sportvelden;
93.11.9;Overige sportaccommodaties;
93.12;Buitensport;
93.12.1;Veldvoetbal;
93.12.2;Veldsport in teamverband (geen voetbal) ;
93.12.3;Atletiek;
93.12.4;Tennis;
93.12.5;Paardensport en maneges;
93.12.6;Wielersport;
93.12.7;Auto- en motorsport;
93.12.8;Wintersport;
93.12.9;Overige buitensport;
93.13;Fitnesscentra;
93.14;Binnensport;
93.14.1;Individuele zaalsport ;
93.14.2;Zaalsport in teamverband;
93.14.3;Kracht- en vechtsport;
93.14.4;Bowlen, kegelen, biljarten e.d.;
93.14.5;Denksport;
93.14.6;Sportscholen;
93.14.9;Overige binnensport en omnisport;
93.15;Watersport;
93.15.1;Zwem- en onderwatersport;
93.15.2;Roei-, kano-, zeil- en surfsport e.d.;
93.19;Overige sportactiviteiten;
93.19.1;Beroepssportlieden;
93.19.2;Hengelsport;
93.19.3;Verzorgen van vistochten;
93.19.4;Supportersverenigingen (sport);
93.19.5;Organiseren van sportevenementen;
93.19.6;Overkoepelende organen en samenwerkings- en adviesorganen op het gebied van sport;
93.19.9;Overige sportactiviteiten (rest);
;;
93.2;Overige recreatie;
93.21;"Pret- en themaparken; kermisattracties";
93.21.1;Pret- en themaparken;
93.21.2;Kermisattracties;
93.29;Overige recreatie (rest);
93.29.1;Jachthavens;
93.29.9;Overige recreatie (rest, geen jachthavens);
;;
;;
S;Overige dienstverlening;
;;
94;Levensbeschouwelijke en politieke organisaties, belangen- en ideële organisaties, hobbyclubs ;
94.1;Bedrijfs-, werkgevers- en beroepsorganisaties;
94.11;Bedrijfs- en werkgeversorganisaties;
94.12;Beroepsorganisaties;
;;
94.2;Werknemersorganisaties;
94.20;Werknemersorganisaties;
;;
94.9;Levensbeschouwelijke en politieke organisaties, belangen- en ideële organisaties, hobbyclubs;
94.91;Levensbeschouwelijke organisaties;
94.91.1;Religieuze organisaties;
94.91.9;Overige levensbeschouwelijke organisaties;
94.92;Politieke organisaties;
94.99;"Overige belangen- en ideële organisaties; hobbyclubs";
94.99.1;Gezelligheidsverenigingen;
94.99.2;Hobbyclubs;
94.99.3;Steunfondsen (niet op het gebied van welzijnszorg);
94.99.4;Vriendenkringen op het gebied van cultuur, fanclubs en overige kunstbevordering;
94.99.5;Overkoepelende organen en samenwerkings- en adviesorganen (niet op het gebied van gezondheids- en welzijnszorg, sport en recreatie);
94.99.6;Overige ideële organisaties (rest);
94.99.7;Overige belangenbehartiging (rest);
;;
;;
95;Reparatie van computers en consumentenartikelen;
;;
95.1;Reparatie van computers en communicatieapparatuur;
95.11;Reparatie van computers en randapparatuur;
95.12;Reparatie van communicatieapparatuur;
;;
;;
95.2;Reparatie van consumentenartikelen (geen computers, communicatieapparatuur, auto’s en motorfietsen);
95.21;Reparatie van consumentenelektronica (geen computers);
95.22;Reparatie van elektrische huishoudelijke apparaten ;
95.23;Reparatie van schoenen en lederwaren;
95.24;Reparatie en stoffering van meubels;
95.25;Reparatie van uurwerken en juweliersartikelen;
95.29;Reparatie van overige consumentenartikelen;
;;
;;
96;"Wellness en overige dienstverlening; uitvaartbranche";
;;
96.0;"Wellness en overige dienstverlening; uitvaartbranche";
96.01;Reinigen van kleding en textiel;
96.01.1;Wasserijen en linnenverhuur;
96.01.2;Chemische wasserijen en ververijen;
96.01.3;Wassalons en -verzendinrichtingen;
96.02;Haar- en schoonheidsverzorging;
96.02.1;Haarverzorging;
96.02.2;Schoonheidsverzorging, pedicures en manicures, visagie en image consulting;
96.03;Uitvaartverzorging, crematoria, mortuaria en begraafplaatsen;
96.03.1;Uitvaartverzorging;
96.03.2;Crematoria, mortuaria en begraafplaatsen;
96.04;Sauna's, solaria, baden e.d.;
96.09;Overige dienstverlening (rest);
;;
;;
T;"Huishoudens als werkgever; niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik";
;;
97;Huishoudens als werkgever van huishoudelijk personeel;
;;
97.0 ;Huishoudens als werkgever van huishoudelijk personeel;
97.00;Huishoudens als werkgever van huishoudelijk personeel;
;;
;;
98;Niet-gespecificeerde productie van goederen en diensten door particuliere huishoudens voor eigen gebruik;
;;
98.1 ;Niet-gespecificeerde productie van goederen door particuliere huishoudens voor eigen gebruik;
98.10;Niet-gespecificeerde productie van goederen door particuliere huishoudens voor eigen gebruik;
;;
98.2;Niet-gespecificeerde productie van diensten door particuliere huishoudens voor eigen gebruik;
98.20;Niet-gespecificeerde productie van diensten door particuliere huishoudens voor eigen gebruik;
;;
;;
U;Extraterritoriale organisaties en lichamen;
;;
99 ;Extraterritoriale organisaties en lichamen;
;;
99.0 ;Extraterritoriale organisaties en lichamen;
99.00;Extraterritoriale organisaties en lichamen;
;;
;;
;;
;;
